Year,Month,Total Dates, Total Places
2020, Sep, Holiday Inn Express Aberdeen-Chesapeake House, 3
2020, Sep, DICK'S Sporting Goods, 2
2020, Sep, Glenbrook Shopping Center, 2
2020, Sep, Ox Ridge Elementary School, 2
2020, Sep, 99 Allen St, 2
2020, Sep, St. Thomas More Church, 2
2020, Sep, Green & Tonic, 2
2020, Sep, Middlesex Middle School, 2
2020, Sep, The Home Depot, 2
2020, Sep, Riko's Pizza, 2
2020, Sep, Carsins Run Park, 2
2020, Sep, ONS Stamford, 1
2020, Sep, 4 Christie Hill Rd, 1
2020, Sep, Darien, 1
2020, Sep, ShopRite of Paramus, 1
2020, Sep, Trans Oil Ent Inc, 1
2020, Sep, RT. 15 New Canaan NB Service Plaza, 1
2020, Sep, 9 Shipway Rd, 1
2020, Sep, Stop & Shop, 1
2020, Sep, uBreakiFix Darien, 1
2020, Sep, bp, 1
2020, Sep, Wetmore's Chrysler Jeep Dodge RAM, 1
2020, Sep, Veloz Barbershop, 1
2020, Sep, Splash Car Wash, 1
2020, Sep, 350 Hollow Tree Ridge Rd, 1
2020, Sep, LAX.com, 1
2020, Sep, Advance Auto Parts, 1
2020, Sep, Yale New Haven Children's Hospital Pediatric Specialty Center - Norwalk, 1
2020, Sep, Stamford Town Center, 1
2020, Sep, Match, 1
2020, Sep, Bed Bath & Beyond, 1
2020, Sep, Waveny Park, 1
2020, Sep, Scotts Ridge Middle School, 1
2020, Sep, Rhett J Drugge Md Pc, 1
2020, Sep, ShopRite of Shippan Ave- Stamford, CT, 1
2020, Sep, 213 CT-106, 1
2020, Sep, Darien EMS - Post 53 Inc., 1
2020, Sep, Molly Pitcher Service Area, 1
2020, Sep, 7-Eleven, 1
2020, Sep, Riverside Pub & Grille, 1
2020, Sep, Royal Farms, 1
2020, Sep, Ox Ridge Hunt Club, 1
2020, Sep, SPRINGDALE SHOPPING CENTER, 1
2020, Sep, Judicial District Court, 1
2019, Oct, 43 Blueberry Ln, 108
2019, Oct, Darien High School, 11
2019, Oct, 9 Shipway Rd(Rental), 9
2019, Oct, Goodwives Shopping Center, 6
2019, Oct, Royle Elementary School(Football Practice), 5
2019, Oct, Ox Ridge Elementary School, 5
2019, Oct, Darien EMS - Post 53 Inc., 4
2019, Oct, Darien, 4
2019, Oct, CVS, 3
2019, Oct, 520 Hoyt St, 3
2019, Oct, Waveny Park, 2
2019, Oct, West Beach, 2
2019, Oct, FOOD BAG, 2
2019, Oct, Walmart, 2
2019, Oct, Darinor Plaza, 2
2019, Oct, Quest Diagnostics Darien, 1
2019, Oct, Ox Ridge Hunt Club, 1
2019, Oct, 11 Glenvale Ave, 1
2019, Oct, Sacred Heart Greenwich, 1
2019, Oct, Middlesex Middle School, 1
2019, Oct, Chick-fil-A, 1
2019, Oct, Stony Brook, 1
2019, Oct, Whole Foods Market, 1
2019, Oct, uBreakiFix Darien, 1
2019, Oct, Sails American Grill, 1
2019, Oct, Stamford Twin Rinks, 1
2019, Oct, Methodist Family Center Preschool, 1
2019, Oct, Rhett J Drugge Md Pc, 1
2019, Oct, BevMax, 1
2019, Oct, Hindley Elementary School, 1
2019, Oct, The Home Depot, 1
2019, Oct, St. Thomas More Church, 1
2019, Oct, Shell, 1
2019, Oct, New Canaan High School, 1
2019, Oct, ShopRite of Shippan Ave- Stamford, CT, 1
2019, Oct, Glenbrook Shopping Center, 1
2019, Oct, 213 CT-106, 1
2019, Oct, 95 Hoyt St, 1
2019, Oct, ShopRite of Norwalk, 1
2019, Oct, Bull's Head Shopping Center, 1
2019, Oct, High Ridge Shopping Center, 1
2019, Oct, Malibu, 1
2020, Dec, 43 Blueberry Ln, 65
2020, Dec, 9 Shipway Rd(Rental), 8
2020, Dec, Goodwives Shopping Center, 6
2020, Dec, Costco Wholesale, 3
2020, Dec, The Home Depot, 3
2020, Dec, CVS, 3
2020, Dec, 520 Hoyt St, 3
2020, Dec, Santé Naturopathic & Acupuncture, 2
2020, Dec, Stop & Shop, 2
2020, Dec, ShopRite of Norwalk, 2
2020, Dec, FOOD BAG, 2
2020, Dec, Shell, 2
2020, Dec, Darien Sport Shop, 1
2020, Dec, bp, 1
2020, Dec, Noroton Heights Fire Department, 1
2020, Dec, Darien Butcher Shop, 1
2020, Dec, Rhett J Drugge Md Pc, 1
2020, Dec, Darien High School, 1
2020, Dec, Quest Diagnostics Norwalk Cross Street - Employer Drug Testing Not Offered, 1
2020, Dec, Darien EMS - Post 53 Inc., 1
2020, Dec, SPRINGDALE SHOPPING CENTER, 1
2020, Dec, REI, 1
2020, Dec, Crescent Cleaners & Launderers, 1
2020, Dec, Quest Diagnostics Darien, 1
2020, Dec, Crescendo Music, 1
2020, Dec, Walmart, 1
2020, Dec, Main Avenue Shopping Plaza, 1
2020, Dec, Bob's Discount Furniture and Mattress Store, 1
2020, Dec, Michaels, 1
2020, Dec, Bull's Head Shopping Center, 1
2020, Dec, High Ridge Shopping Center, 1
2020, Dec, LAX.com, 1
2020, Dec, 97 Cummings Ave, 1
2020, Dec, Verizon Authorized Retailer - Wireless Zone, 1
2020, Dec, LaGuardia Airport, 1
2020, Dec, Al's Warehouse Wine Beer, 1
2020, Jan, 9 Shipway Rd(Rental), 78
2020, Jan, Dermatologist(Contract Work), 29
2020, Jan, University of Connecticut-Stamford Campus, 12
2020, Jan, Darien, 8
2020, Jan, 43 Blueberry Ln, 4
2020, Jan, Darien High School, 4
2020, Jan, Revive Center For Wellness, 3
2020, Jan, Sergios, 3
2020, Jan, Shake Shack, 3
2020, Jan, Hyatt Regency Greenwich, 2
2020, Jan, The Campus, 2
2020, Jan, Darien Library, 2
2020, Jan, Riverview East, 2
2020, Jan, Stamford Town Center, 2
2020, Jan, PetSmart, 1
